id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,target
68176,1e-05,udp,-,INT,2,0,1064,0,100000.0025,254,0,425600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,36,2,14,14,1,36,0,0,0,15,36,0,Normal,0,0
43312,3e-06,udp,-,INT,2,0,104,0,333333.3215,254,0,138666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,7,2,6,3,1,7,0,0,0,3,18,0,Normal,0,0
31436,0.005493,tcp,-,FIN,22,24,2054,2478,8192.244452,31,29,2855998.5,3458947.75,6,6,0.2577,0.213043,15.436877,12.75106,255,3827405453,3827777367,255,0.000732,0.000585,0.000147,93,103,0,0,7,0,3,1,1,1,0,0,0,3,8,0,Normal,0,0
92022,6e-06,tcp,-,REQ,2,0,90,0,166666.6608,254,0,59999996.0,0.0,1,0,0.006,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,15,6,9,1,1,15,0,0,0,9,15,0,Normal,0,0
37762,0.017016,tcp,-,FIN,48,50,2958,32368,5700.517434,31,29,1362012.25,14913494.0,7,18,0.35517,0.335429,0.0,19.483883,255,3273819965,3274075773,255,0.000711,0.000576,0.000135,62,647,0,0,3,0,3,1,1,1,0,0,0,1,16,0,Normal,0,0
39892,0.653055,tcp,-,FIN,38,34,2814,17186,108.719784,31,29,33565.32031,204344.1875,8,11,18.140416,19.767727,2135.388221,2231.683971,255,2664853778,519758239,255,0.000708,0.00056,0.000148,74,505,0,0,2,0,4,1,1,1,0,0,0,1,3,0,Normal,0,0
40478,4e-06,udp,-,INT,2,0,2114,0,250000.0006,254,0,2114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1057,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,Normal,0,0
18339,0.00103,udp,dns,CON,2,2,146,178,2912.621237,31,29,566990.25,691262.125,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,3,1,1,1,0,0,0,4,3,0,Normal,0,0
26615,0.001033,udp,dns,CON,2,2,146,178,2904.162775,31,29,565343.6875,689254.625,0,0,0.009,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,0,0,0,4,1,0,Normal,0,0
66325,4e-06,udp,-,INT,2,0,104,0,250000.0006,254,0,104000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,1,1,1,2,0,0,0,2,2,0,Normal,0,0
